Model,Scenario,Region,Variable,Unit,2020.0,2030.0,2040.0,2050.0,2060.0,2070.0,2080.0,2090.0,2100.0
paris_ratchet,5ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,7579.451601672189,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,5ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,258.88930130226674,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,5ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,26340.893540251644,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,5ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,5ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,8915.229926572327,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,6ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,203.45879137832273,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,6ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,8323.13066369815,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,6ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,6ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,7322.179856073241,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,6ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,245.2017157020157,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,6ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,23292.593067462712,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,6ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,6ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,8460.805196345098,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,8ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,217.68569517278405,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,8ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,17130.998408725114,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,8ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,8ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,7812.097224057219,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,307.9528208948552,229.82639458245012,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,35563.79141611925,20144.410256473675,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,869.2628046023242,214.93171272264573,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,10227.45280718491,8795.26337041851,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,322.3677586523039,260.52581165222006,202.97562442199757,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,37693.145224055224,30321.566986063546,14872.37128400258,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,1031.965106217002,450.3394539373426,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,10394.719347716196,9915.03974827042,8538.369862625133,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
