Model,Scenario,Region,Variable,Unit,2020.0,2030.0,2040.0,2050.0,2060.0,2070.0,2080.0,2090.0,2100.0
paris_ratchet,4ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9708.60667205399,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,4ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,272.9051785258193,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,4ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,29361.436710441518,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,4ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,377.5211381664093,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,4ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9362.296782106343,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,5ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,274.5023255621013,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,5ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,29645.501549525376,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,5ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,400.0632612742048,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,5ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9402.357158913654,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,5ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,258.9433929003526,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,5ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,26352.940036166598,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,5ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,5ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,8917.02575533173,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
