Model,Scenario,Region,Variable,Unit,2020.0,2030.0,2040.0,2050.0,2060.0,2070.0,2080.0,2090.0,2100.0
paris_ratchet,3ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.5364823836291,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,3ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,8980.810165276236,7499.165531032273,7621.864077859369,7805.887608363678,7867.571691143596,7919.222744602276,7789.211644629795,7608.498323739491
paris_ratchet,3ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,293.6463757099282,219.88796111334284,186.70823186781058,178.25392364868654,177.61390923282852,173.10347409294323,166.83923593329692,155.69224855845442
paris_ratchet,3ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,33050.41756609639,15816.857501289265,913.4065449162715,-5459.918211552727,-7041.0923059062125,-7122.963937487446,-6933.610802469253,-6608.4068113853355
paris_ratchet,3ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,670.2622632513229,186.7402,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,3ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9882.53703285016,8155.062385310952,7691.45036589005,7764.229512770723,7867.228844083524,7919.435120943129,7789.2140964408745,7608.498705140864
paris_ratchet,4ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,243.18017809271524,194.9327834600141,189.6950161705851,178.29645715211316,177.53527994461524,173.09333543149475,166.83859490716645,155.69223532134689
paris_ratchet,4ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,22842.38554144891,-1957.932326052931,-7255.750667240157,-7233.44447586082,-7262.29808198097,-7139.132516059323,-6934.282943227156,-6608.4221447886775
paris_ratchet,4ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3472707637155,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,4ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,8393.690607287572,7624.24785418584,7613.682905901943,7806.759134719419,7867.572273738001,7919.222732759432,7789.21164462829,7608.49832373949
paris_ratchet,4ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,281.119055883962,196.84164808664224,188.2322674205294,178.28460323145853,177.54505026445378,173.09377170293854,166.83860207702642,155.69223534893996
paris_ratchet,4ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,30822.337740209507,10494.727588482852,-3254.9848637002024,-6739.169659015142,-7234.811489751901,-7138.436774402158,-6934.275425350914,-6608.422112825829
paris_ratchet,4ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,493.45175093617104,186.7402,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,4ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9568.32103318733,7713.855761088342,7651.7687679399005,7794.906295817476,7867.529599848379,7919.231871924401,7789.211672051748,7608.498324534531
